REVIEWS
"We hosted a meeting at the infinity pool bar, where Ms. Mhale provided exceptional service. The stunning ambiance and breathtaking views enhanced our experience. …"
"It was my visit to Marriott and it was a pleasant stay.
Pick up and drop service was on time, driver was very good both the time
Check in process was quick and smooth … Read more"
"Service 2 star because staffs are not cooperative, if your breakfast or lunch Buffett is for your guest and there are endless guests at your place then it's responsibility to give them proper hospitality and feed them as well but what you … Read more"
"Hotel Marriott Kolkata offers a superb stay with its well-appointed rooms and exceptional dining options. The rooms are spacious, comfortable, and elegantly designed, providing a relaxing retreat. The hotel’s restaurants deliver a diverse … Read more"
"Very quite and The Architecture
The Services,Complimentary Breakfast & Welcome Snacks,Hotel Amenities. Room & Its Amenities … Read more"
"This has been the most awful stay I have ever encountered with a 5* hotel. Firstly, the only method of contacting the hotel from abroad is via phone, this makes it difficult to put in a special request for a room away from the elevator as I …"
"I recently had the pleasure of staying at JW Marriott Hotel, and it was an exceptional experience from start to finish. The luxurious ambiance, impeccable service, and attention to detail truly set this hotel apart. The rooms were spacious, … Read more"
"JW Marriott hotels are known for their luxury and comfort, and my experience at one did not disappoint. From the moment I entered the lobby, I was greeted by a sense of elegance and hospitality. The rooms were spacious and well-appointed, … Read more"
"The hotel's ambiance is a perfect blend of modern luxury and classic charm. The lobby is tastefully decorated, with plush furniture and an inviting atmosphere. The attention to detail in the interior design creates a sense of comfort and … Read more"
"My recent stay at the JW Marriott in Kolkata was an absolute delight. From the moment I arrived, I was impressed by the hotel's stunning architecture and elegant decor. The staff greeted me with warm smiles and were incredibly hospitable … Read more"
"Went for New Year Bash at Ball room.
Over crowed. Overall less than average entertainment, music.
Bars were well arranged with Multiple good barmen at each counter. Two variety … Read more"
I had a great time at the JW Marriott. The place looks fancy and the people there are very nice. … Read more
"I have nothing but wonderful things to say. I actually missed this hotel after I left. It is hands down one of the best hotels I have ever stayed at, during any of my travels. … Read more"
We recently had the pleasure of staying at this esteemed hotel and were thoroughly impressed with the exceptional level of service and luxury accommodations. From the meticulously clean and beautifully appointed rooms to the attentive and … Read more
Please if you have a driver ask him not to use the toilet J W Marriott has for outsiders the toilet was filled with water and the washroom pan was broken with feces in it when he asked the staff if he can use the other toilet which was for … Read more
"We went for family buffet dinner there. The spread was lavish for people with both veg and non-veg food preferences.
All the staff there are very polite and helpful. I would like make a special … Read more"
"This is the place which you can call the Cheery on the top. My recent Stay experience with this beautiful property was so amazing. Me and my family have spent an awesome time here. The rooms are beautiful and so spacious, so many varieties … Read more"
"I had a wonderful time dining at JW Kitchen.
The restaurant was beautiful and cozy, and the staff were very attentive and polite.👌 The food was undoubtedly the highlight of the evening. The buffet spread … Read more"
"I recently visited this great Hotel.From the moment I entered, the staff's warm welcome set the tone for an unforgettable stay. The lobby's elegant ambiance and attention to detail showcased the hotel's commitment to luxury.What truly sets … Read more"
"I'm delighted to hear about your exceptional experience at the JW Marriott! Your glowing review captures the essence of unparalleled hospitality, stunning amenities, and the warm welcome you received during your visit to India. It's evident … Read more"
"My experience at the JW Marriott was beyond anything I have experienced anywhere else in the world. The customer service, amenities, and food were unmatched. The hotel itself is beautiful and view from the room and pool are breathtaking. I … Read more"
"Service is commendable. All the staff are very courteous and efficient. I initially had bad experience of room booking due to a staff called Mickey singh who kept postponing the booking for 3-4 months, due to some reason or the other. But … Read more"
Just had a 2 night 3 days stay at JW marriot Kolkata. Great facilities and supportive staff. Food was great. … Read more
"I visited JW kitchen recently and it was amazing. The staff and their service has been awesome throughout the entire time. The quality of food is top notch.
Special mention to Chetan who helped us to celebrate our second anniversary with … Read more"
I booked an ex.suite and trust me I had to literally beg the staff on my knees to get me a C-type charger as I had misplaced mine.... I mean come on ppl.... such petty things must not even be an issue. … Read more
"JW Marriott hotels are renowned for their luxury and impeccable service. From the moment you enter, the elegant ambiance and attentive staff create a sense of indulgence. The tastefully decorated rooms exude comfort, and amenities are … Read more"
I recently stayed at JW Marriott and had a great experience during my stay. Here is a detailed review of my overall impressions: … Read more
"A Hidden Gem in [JW Marriott Hotel Kolkata]
Rating: ⭐️⭐️⭐️⭐️⭐️ … Read more"
"Checked in twice in 2 weeks. Awesome property with very spacious well appointed rooms with great view of the wetlands across the EM Bypass.
Has One of the best gyms anywhere. … Read more"
"Great choice! The JW Marriott is renowned for its luxurious accommodations, attentive service, and upscale amenities. Guests often praise the elegant ambiance, spacious rooms, and diverse dining options. Additionally, the central locations … Read more"
