iter	Logloss
123	0.4418635817
124	0.4412368082
125	0.440548807
126	0.4398549341
127	0.4390970367
128	0.43858925
129	0.4379377023
130	0.4374027209
131	0.4366782193
132	0.4359784404
133	0.4354450713
134	0.4348247383
135	0.4342413975
136	0.4336278941
137	0.4330947859
138	0.4324674392
139	0.4319164977
140	0.4313256302
141	0.4308905409
142	0.4302603418
143	0.4296480358
144	0.4290236272
145	0.428367247
146	0.4278544866
147	0.4273264333
148	0.4266521129
149	0.4262817024
150	0.4257451686
151	0.4251690296
152	0.4247298005
153	0.4242257345
154	0.4238435335
155	0.423211303
156	0.4227644104
157	0.422283797
158	0.4218149399
159	0.4213789097
160	0.4209328125
161	0.4203955218
162	0.4199724197
163	0.419530736
164	0.4189232882
165	0.418378723
166	0.41790532
167	0.4174018484
168	0.4169052235
169	0.4164532803
170	0.4159310174
171	0.4153878379
172	0.4149221027
173	0.4144615464
174	0.4139058921
175	0.4133520383
176	0.4129315748
177	0.4125491985
178	0.4120015756
179	0.4116880819
180	0.4111918163
181	0.4105198779
182	0.4101192363
183	0.4096448753
184	0.4093085789
185	0.4089844238
186	0.4085472004
187	0.4080854596
188	0.4075083711
189	0.407179593
190	0.4066924963
191	0.406141991
192	0.4055345347
193	0.4052186376
194	0.4048204037
195	0.4044549925
196	0.404080639
197	0.4037411523
198	0.4034037697
199	0.4030422373
200	0.4027830389
201	0.4023786297
202	0.4017763352
203	0.4014666048
204	0.401171325
205	0.4008896148
206	0.4004526395
207	0.4000408318
208	0.3996278352
209	0.399314936
210	0.3989798884
211	0.3984093773
212	0.3979563478
213	0.3976245119
214	0.3973120189
215	0.3970223286
216	0.3966861006
217	0.3963295376
218	0.3959961408
219	0.3956229548
220	0.3951901876
221	0.3948123273
222	0.3944372682
223	0.3941096319
224	0.3938645974
225	0.3934028865
226	0.3930760798
227	0.3927813731
228	0.3925057954
229	0.3922013638
230	0.3920038634
231	0.3916915628
232	0.3913689985
233	0.3910064911
234	0.3906638013
235	0.3902898925
236	0.3898248416
237	0.3894716314
238	0.3891122288
239	0.388779653
240	0.3885303506
241	0.3882726532
242	0.3879337482
243	0.3876679938
244	0.3873821609
245	0.3870178616
246	0.3866426955
247	0.3862901354
248	0.3859376309
249	0.3854533824
250	0.3851712873
251	0.3849467034
252	0.3845616328
253	0.3842309173
254	0.3838494433
255	0.3834988633
256	0.3831817345
257	0.382879471
258	0.3826212092
259	0.3823449858
260	0.3819614248
261	0.3816518441
262	0.3813728196
263	0.3810560072
264	0.3807229311
265	0.3803257921
266	0.3800260689
267	0.3797046123
268	0.3794592528
269	0.3792104037
270	0.3788678037
271	0.3785717541
272	0.3783107039
273	0.3780061311
274	0.3776976068
275	0.3773379518
276	0.3769590309
277	0.376675161
278	0.3764006183
279	0.376079183
280	0.3757586543
281	0.3754472733
282	0.3751965938
283	0.3749420867
284	0.3746646445
285	0.3742848555
286	0.373921745
287	0.3736601475
288	0.3733762647
289	0.3730523447
290	0.3727670849
291	0.372499684
292	0.3722481963
293	0.3719239342
294	0.3716635298
295	0.3713971339
296	0.371088678
297	0.3707895151
298	0.3704959331
299	0.3701789924
300	0.3698823484
301	0.3695250242
302	0.3691934064
303	0.3689404389
304	0.3685131757
305	0.3682121054
306	0.3678721099
307	0.3675503496
308	0.3672734846
309	0.3669720893
310	0.3666616063
311	0.3663835098
312	0.3660505107
313	0.3655809651
314	0.3652338618
315	0.3647583461
316	0.3645217793
317	0.3642047831
318	0.3637686802
319	0.3634474074
320	0.3630987005
321	0.3628288876
322	0.3624849277
323	0.3621137003
324	0.3617340567
325	0.361421213
326	0.3610898304
327	0.3607232902
328	0.3604241529
329	0.3600874247
330	0.359738692
331	0.3593746279
332	0.3590172139
333	0.358606655
334	0.3582886923
335	0.357951006
336	0.3576174552
337	0.35731003
338	0.3569322766
339	0.3566397338
340	0.356314843
341	0.3559916757
342	0.3557331829
343	0.3554180556
344	0.3551068242
345	0.3548041416
346	0.3544458637
347	0.3540357581
348	0.3537121803
349	0.3533050426
350	0.3528995813
351	0.3525408672
352	0.3522235759
353	0.3518028045
354	0.3514703443
355	0.3510625993
356	0.3507237242
357	0.3504221664
358	0.3501198217
359	0.3498764423
360	0.3495165778
361	0.3492692768
362	0.3489607696
363	0.3486106855
364	0.3482927485
365	0.3479864009
366	0.3476085919
367	0.3472899664
368	0.3469656145
369	0.3466666098
370	0.3463414368
371	0.3460912662
372	0.3458042915
373	0.3454961734
374	0.3451628664
375	0.3449020172
376	0.3445613459
377	0.3443094219
378	0.3439409572
379	0.3435498909
380	0.3432247222
381	0.3428884515
382	0.3425212355
383	0.3422197547
384	0.3419155369
385	0.3415949227
386	0.3412781061
387	0.3409997786
388	0.3406554936
389	0.3402528506
390	0.3400158005
391	0.3397079434
392	0.3393680034
393	0.3391094037
394	0.3388088423
395	0.3385392518
396	0.3383352468
397	0.3379012052
398	0.3376646341
399	0.3373372245
400	0.3370822855
401	0.3368875948
402	0.3366127228
403	0.3363117081
404	0.3359963284
405	0.3356725838
406	0.3353630117
407	0.3350204716
408	0.3347605761
409	0.3344561188
410	0.3341588803
411	0.3338943661
412	0.3336223081
413	0.3333702943
414	0.3330782518
415	0.3327812315
416	0.3324712018
417	0.3321653375
418	0.3318976073
419	0.3317501299
420	0.3314352078
421	0.3311663529
422	0.3308392897
423	0.330551883
424	0.330243008
425	0.3300918399
426	0.3297924076
427	0.3295275513
428	0.3291630339
429	0.3288638709
430	0.328567971
431	0.328293903
432	0.3280223239
433	0.3278661138
434	0.3276038533
435	0.327271748
436	0.3269970642
437	0.3267545871
438	0.3264975484
439	0.3262545496
440	0.3259671515
441	0.3256201765
442	0.3253800773
443	0.3252231829
444	0.3249715112
445	0.3246519876
446	0.3244173965
447	0.3241046084
448	0.3239805281
449	0.3237297332
450	0.3235159262
451	0.3232063499
452	0.3229239254
453	0.3226521496
454	0.3223945849
455	0.3221456502
456	0.3218266055
457	0.3216424865
458	0.3213337141
459	0.3210478898
460	0.3207214082
461	0.3205785238
462	0.3203147837
463	0.3200791834
464	0.3197808159
465	0.3194824142
466	0.3192405786
467	0.3190001543
468	0.3188444189
469	0.3186219348
470	0.3183833708
471	0.3180782848
472	0.3178517295
473	0.3175699465
474	0.3172909091
475	0.3170486373
476	0.316747644
477	0.3164749873
478	0.3162489066
479	0.3160097268
480	0.3157680922
481	0.3154792999
482	0.3152542114
483	0.3151031717
484	0.3148788444
485	0.3145359878
486	0.3143064088
487	0.3140559517
488	0.3139427296
489	0.3137056026
490	0.3134807835
491	0.313169706
492	0.3128686657
493	0.3126329798
494	0.3123377129
495	0.3121804892
496	0.3119156371
497	0.3116562762
498	0.3114163352
499	0.311196772
500	0.3109312699
501	0.3107182969
502	0.3106106301
503	0.3103647531
504	0.3100648931
505	0.309767984
506	0.3095232061
507	0.30935175
508	0.3091167228
509	0.3088663726
510	0.3086094322
511	0.3084001242
512	0.308275907
513	0.3081565652
514	0.3079729208
515	0.3077620391
516	0.3075152085
517	0.3072502111
518	0.3071506569
519	0.3069166688
520	0.3068167982
521	0.3065733717
522	0.3063222261
523	0.3060384331
524	0.3057947287
525	0.3055745326
526	0.3054576027
527	0.3052157586
528	0.3049794869
529	0.3048205611
530	0.3045589079
531	0.3043588501
532	0.3041153638
533	0.3038507256
534	0.3035383267
535	0.3032065379
536	0.3029906482
537	0.3028166048
538	0.3026024173
539	0.302354633
540	0.3021656216
541	0.3019005728
542	0.3016763738
543	0.3015500783
544	0.3012904821
545	0.3010434677
546	0.300828784
547	0.3006102943
548	0.3003928651
549	0.3002144595
550	0.299952832
551	0.2997085931
552	0.2994536626
553	0.2992922907
554	0.2990513532
555	0.2988986883
556	0.2986401186
557	0.2985275594
558	0.2983302642
559	0.2981277132
560	0.2978864678
561	0.2977166625
562	0.2974996225
563	0.297276561
564	0.2971512662
565	0.2970155964
566	0.2967895628
567	0.2965730958
568	0.2963498248
569	0.2961609032
570	0.2959432859
571	0.2957213363
572	0.2954516945
573	0.2952687473
574	0.2950311669
575	0.2948089908
576	0.2945946321
577	0.2943686156
578	0.2941296967
579	0.2939103003
580	0.2936268109
581	0.2933913133
582	0.2932835053
583	0.2930519805
584	0.2928414409
585	0.2926290516
586	0.2924748301
587	0.2922827567
588	0.2920840011
589	0.2918620516
590	0.2917506171
591	0.2916567871
592	0.2914526345
593	0.2911897155
594	0.2909834331
595	0.2907707574
596	0.2905235504
597	0.290309998
598	0.2901801336
599	0.2899682276
600	0.2897589324
601	0.2896624018
602	0.2894456996
603	0.2892354679
604	0.2890621279
605	0.2888401656
606	0.2886842227
607	0.2885176013
608	0.2883221194
609	0.2881086076
610	0.2878411404
611	0.2877526754
612	0.2875217793
613	0.2873004028
614	0.287193788
615	0.2869036315
616	0.2867237591
617	0.2866421772
618	0.2864113239
619	0.2862236981
620	0.2859457063
621	0.2857988768
622	0.2856166224
623	0.2854801272
624	0.2852552846
625	0.2850541235
626	0.2848453094
627	0.2845907489
628	0.2845107707
629	0.2843110016
630	0.2841037934
631	0.2838660505
632	0.2836396341
633	0.2834299797
634	0.283183162
635	0.2830105726
636	0.2828526176
637	0.2826956527
638	0.2824761108
639	0.2823952196
640	0.2821888945
641	0.2819806086
642	0.2817570297
643	0.2815501145
644	0.2813518913
645	0.2812087033
646	0.2809948793
647	0.2808562458
648	0.280653605
649	0.2805702077
650	0.2803700922
651	0.2803070128
652	0.2800893698
653	0.2799449972
654	0.2798437345
655	0.2795857528
656	0.2793998868
657	0.2791621054
658	0.2789238622
659	0.278728483
660	0.2785881817
661	0.2783750697
662	0.2781975237
663	0.2780631005
664	0.2779625863
665	0.2777842984
666	0.2776386342
667	0.2775707159
668	0.27740217
669	0.2772302756
670	0.2770758851
671	0.2768822465
672	0.2766487267
673	0.2764549298
674	0.2762850197
675	0.2761352757
676	0.2760502426
677	0.2758370579
678	0.275618844
679	0.2754094162
680	0.27520895
681	0.2750338524
682	0.2748707827
683	0.2746456856
684	0.2744586521
685	0.2742997948
686	0.2741195674
687	0.2738974875
688	0.2738280681
689	0.2737052109
690	0.2735764114
691	0.273411738
692	0.2732342626
693	0.2730386075
694	0.2729232664
695	0.2727685702
696	0.2727061815
697	0.2725388159
698	0.2724297399
699	0.27220964
700	0.2720771542
701	0.2718675853
702	0.2717129104
703	0.2715034463
704	0.2712838874
705	0.2710936059
706	0.2710125927
707	0.2709177
708	0.2706940484
709	0.2706050488
710	0.2704228628
711	0.2702145448
712	0.2700100073
713	0.2699352508
714	0.26979273
715	0.2696436296
716	0.2694707323
717	0.2693350326
718	0.2691682379
719	0.2689109105
720	0.268772446
721	0.2685984047
722	0.2684127867
723	0.2682215665
724	0.2680262044
725	0.2678374068
726	0.2677832569
727	0.2676007074
728	0.2674192377
729	0.2672297281
730	0.2671372474
731	0.2670619092
732	0.2669483835
733	0.2668698614
734	0.2666440459
735	0.2665355131
736	0.2663925175
737	0.2662069038
738	0.2661292499
739	0.2659829593
740	0.2658295974
741	0.2656915284
742	0.2654897964
743	0.2653063317
744	0.2651340844
745	0.2650047952
746	0.2648278074
747	0.2646704746
748	0.2645006565
749	0.2643229929
750	0.2641577828
751	0.264088806
752	0.2639256465
753	0.2637175936
754	0.2635678069
755	0.263487803
756	0.2632720225
757	0.2630846789
758	0.2629050738
759	0.2627457354
760	0.2625683412
761	0.2623867475
762	0.2622514926
763	0.2621750233
764	0.2621130901
765	0.2619921231
766	0.2619133744
767	0.2618531304
768	0.2616978397
769	0.2614558139
770	0.261257518
771	0.2610826642
772	0.2609221027
773	0.2608235556
774	0.26063717
775	0.2605808113
776	0.2604102832
777	0.2603093626
778	0.2601100276
779	0.2600359767
780	0.2598678756
781	0.2597238536
782	0.2596347428
783	0.2594913838
784	0.2593026097
785	0.2592175851
786	0.2590370649
787	0.2588917407
788	0.2587346304
789	0.2586068188
790	0.2584249642
791	0.2583217108
792	0.258124499
793	0.2580616977
794	0.2580017466
795	0.2577296201
796	0.2575612261
797	0.2573923445
798	0.2572764516
799	0.2571171602
800	0.2570554045
801	0.2568576774
802	0.2567152956
803	0.2565525786
804	0.2564413323
805	0.2562638805
806	0.2560845234
807	0.2558861014
808	0.2556957429
809	0.2555727723
810	0.2555166552
811	0.2553209681
812	0.2552424931
813	0.2550317717
814	0.2549008425
815	0.2548294025
816	0.2546775266
817	0.2545167812
818	0.2543668362
819	0.2541872589
820	0.254036433
821	0.2539459772
822	0.2538061677
823	0.2536330758
824	0.2534804194
825	0.2534309952
826	0.2533064573
827	0.2531329976
828	0.2529455087
829	0.2527477859
830	0.2526058809
831	0.2524623294
832	0.2523427886
833	0.2521669063
834	0.2519954651
835	0.2519378748
836	0.2518164973
837	0.251658863
838	0.2515978343
839	0.2514389384
840	0.251373817
841	0.2512001435
842	0.2510539662
843	0.2508961224
844	0.2507355502
845	0.2505607883
846	0.2504765335
847	0.2503433292
848	0.2501928582
849	0.2500439032
850	0.2499107673
851	0.2497442293
852	0.2496127355
853	0.2494740272
854	0.2492941099
855	0.2492141317
856	0.2491528849
857	0.2490414803
858	0.2489004798
859	0.2486514168
860	0.2485750994
861	0.2485293059
862	0.2484650141
863	0.2484136226
864	0.2481729332
865	0.2479906959
866	0.2478276176
867	0.2477123406
868	0.247538124
869	0.247381144
870	0.2472002838
871	0.2471271096
872	0.2470273309
873	0.2468852548
874	0.2468302004
875	0.2466775484
876	0.2465507695
877	0.2464055267
878	0.2463364516
879	0.2462240506
880	0.246141423
881	0.246015414
882	0.2459448678
883	0.2457478143
884	0.2455951601
885	0.2454031551
886	0.2453397721
887	0.2451647793
888	0.2451206023
889	0.2449781884
890	0.2448031827
891	0.2446176054
892	0.2445022322
893	0.2443939324
894	0.2443050782
895	0.2441396115
896	0.244104349
897	0.243952965
898	0.2438147442
899	0.2437424104
900	0.2435641716
901	0.2435014365
902	0.2433648067
903	0.2432720864
904	0.243171925
905	0.2430658212
906	0.2429180274
907	0.2427570873
908	0.242698477
909	0.2425725984
910	0.2424702537
911	0.2422756229
912	0.2422178551
913	0.2420989836
914	0.2419492397
915	0.2418241886
916	0.241720005
917	0.2416144401
918	0.2415623023
919	0.2414480474
920	0.2412881488
921	0.2411240163
922	0.2409360056
923	0.2408064021
924	0.2406944053
925	0.2405273241
926	0.2403939914
927	0.2402712198
928	0.2401287288
929	0.2400841178
930	0.2400214918
931	0.2399187986
932	0.239783456
933	0.2397325285
934	0.2395943312
935	0.2394549579
936	0.2393848672
937	0.2392192742
938	0.2390636564
939	0.2389315939
940	0.2388334937
941	0.2387028232
942	0.2385913203
943	0.2384418329
944	0.2383138374
945	0.2381486315
946	0.2381061695
947	0.2379612709
948	0.2377786401
949	0.2376669982
950	0.2375231473
951	0.2374082617
952	0.237243353
953	0.2370331768
954	0.2369090196
955	0.2367479448
956	0.2366363393
957	0.2365959343
958	0.2365015462
959	0.2364493614
960	0.2363439675
961	0.2361658849
962	0.2360112699
963	0.2358519978
964	0.2357728342
965	0.2355611185
966	0.2354100018
967	0.2353119187
968	0.2351954635
969	0.235084307
970	0.2349116706
971	0.2348243624
972	0.2347024097
973	0.2346473061
974	0.2344828229
975	0.2344206759
976	0.2343564055
977	0.2342158005
978	0.2341606136
979	0.2340864964
980	0.2339189363
981	0.2337641737
982	0.2337011906
983	0.2335574381
984	0.2335208799
985	0.2334084147
986	0.2332251938
987	0.2330124539
988	0.2328729779
989	0.232745363
990	0.2326800406
991	0.2325343017
992	0.2324441837
993	0.2323120571
994	0.2321736631
995	0.2320329512
996	0.2319946204
997	0.2318577339
998	0.2317145929
999	0.2315844185
